;Date;Arrivals.to.Italy;icon1;moonPhase1;apparentTemperatureMin1;apparentTemperatureMax1;precipType1;precipIntensity1;precipIntensityMax1;temperatureMin1;temperatureMax1;precipProbability1;cloudCover1;dewPoint1;humidity1;windSpeed1;windBearing1;visibility1
100;2016-01-08;0;clear-day;0.85;59.89;79;rain;NA;NA;59.89;79;NA;0.02;33.63;0.29;9.66;238;4.63
101;2016-01-09;0;wind;0.88;59;73;rain;NA;NA;59;73;NA;0.24;29.82;0.28;11.06;256;3.59
102;2016-01-10;0;wind;0.91;51.6;63;rain;NA;NA;51.6;63;NA;0.23;36.97;0.45;13.95;270;3.61
103;2016-01-11;255;clear-day;0.94;54;66.93;rain;NA;NA;54;66.93;NA;0.05;33.87;0.4;6.33;251;4.44
104;2016-01-12;0;clear-day;0.97;52;75;rain;NA;NA;52;75;NA;0.06;33.31;0.36;7.74;227;4.68
105;2016-01-13;105;clear-day;0.01;56.88;73;rain;NA;NA;56.88;73;NA;0.08;44.83;0.54;5.74;255;4.83
106;2016-01-14;0;clear-day;0.05;52.6;75;rain;NA;NA;52.6;75;NA;0;41.52;0.49;5.71;243;4.95
107;2016-01-15;453;clear-day;0.08;57;73;rain;NA;NA;57;73;NA;0;45.37;0.55;3.6;228;4.72
108;2016-01-16;245;partly-cloudy-night;0.12;54;66;rain;NA;NA;54;66;NA;0.19;50.46;0.69;3.71;10;4.54
109;2016-01-17;0;clear-day;0.15;50;66;rain;NA;NA;50;66;NA;0.17;46.54;0.66;1.43;133;4.66
110;2016-01-18;0;clear-day;0.19;52.64;72;rain;NA;NA;52.64;72;NA;0;45.6;0.6;5.35;230;5.07
111;2016-01-19;0;wind;0.23;50.94;61;rain;NA;NA;50.94;61;NA;NA;41.82;0.62;7.47;309;4.1
112;2016-01-20;0;wind;0.27;42.47;57;rain;NA;NA;49.57;57;NA;0.6;35.98;0.52;19.48;296;4.08
113;2016-01-21;0;partly-cloudy-night;0.3;37.24;59;rain;NA;NA;43.34;59;NA;0.55;37.82;0.55;11.97;299;4.65
114;2016-01-22;282;partly-cloudy-night;0.34;41.16;64;rain;NA;NA;44.94;64;NA;0.05;24.47;0.37;8.34;239;4.7
115;2016-01-23;245;partly-cloudy-day;0.38;42.35;62.32;rain;NA;NA;45;62.32;NA;0.3;37.38;0.54;4.32;270;4.64
116;2016-01-24;842;partly-cloudy-night;0.41;44.78;65.12;rain;NA;NA;46;65.12;NA;0.14;42.27;0.66;3.01;202;4.61
117;2016-01-25;124;partly-cloudy-night;0.45;45.04;63.13;rain;NA;NA;48.32;63.13;NA;0.49;44.57;0.67;1.1;301;5.02
118;2016-01-26;24;partly-cloudy-night;0.48;53.55;63;rain;NA;NA;53.55;63;NA;0.71;47.75;0.69;6.12;344;4.8
119;2016-01-27;1389;partly-cloudy-night;0.52;52;63;rain;NA;NA;52;63;NA;NA;46.83;0.71;4.57;261;4.03
120;2016-01-28;232;partly-cloudy-night;0.55;44.78;61;rain;NA;NA;48;61;NA;0.54;46.45;0.75;2.02;269;4.26
121;2016-01-29;0;partly-cloudy-night;0.58;43.18;63;rain;NA;NA;46;63;NA;0.3;44.61;0.7;4.53;259;4.45
122;2016-01-30;855;clear-day;0.61;43.52;64;rain;NA;NA;46;64;NA;0.11;42.2;0.65;3.12;254;4.91
123;2016-01-31;92;clear-day;0.64;47.67;64;rain;NA;NA;48;64;NA;0.05;45.42;0.68;1.03;125;4.89
124;2016-02-01;389;clear-day;0.67;52;66;rain;NA;NA;52;66;NA;0.05;46.51;0.64;1.2;217;4.67
125;2016-02-02;129;clear-day;0.7;48;64;rain;NA;NA;48;64;NA;0.01;46.83;0.68;1.08;27;4.44
